TIME,OPEN,HIGH ,LOW ,CLOSE
2019.09.18 14:27,1.10458,1.10459,1.10454,1.10456
2019.09.18 14:28,1.10457,1.10466,1.10445,1.10447
2019.09.18 14:29,1.10447,1.10447,1.10435,1.10435
2019.09.18 14:30,1.10432,1.10437,1.10431,1.10431
2019.09.18 14:31,1.10431,1.10449,1.1043,1.10447
2019.09.18 14:32,1.10447,1.10451,1.10439,1.10449
2019.09.18 14:33,1.10449,1.10462,1.10446,1.10461
2019.09.18 14:34,1.10461,1.10462,1.10441,1.10442
2019.09.18 14:35,1.10442,1.10447,1.10441,1.10447
2019.09.18 14:36,1.10447,1.10447,1.10431,1.10441
2019.09.18 14:37,1.10441,1.10452,1.1044,1.10451
2019.09.18 14:38,1.10451,1.10457,1.10446,1.10451
2019.09.18 14:39,1.10451,1.10459,1.10444,1.10448
2019.09.18 14:40,1.10448,1.1045,1.10442,1.10446
2019.09.18 14:41,1.10446,1.1045,1.10442,1.10449
2019.09.18 14:42,1.10449,1.10455,1.10449,1.10453
2019.09.18 14:43,1.10453,1.1046,1.10449,1.1046
2019.09.18 14:44,1.10466,1.10477,1.10466,1.10473
2019.09.18 14:45,1.10473,1.10477,1.10471,1.10475
2019.09.18 14:46,1.10475,1.1048,1.10471,1.10476
2019.09.18 14:47,1.10476,1.10484,1.10473,1.10482
2019.09.18 14:48,1.10482,1.10493,1.10481,1.10491
2019.09.18 14:49,1.10491,1.10493,1.10476,1.10481
2019.09.18 14:50,1.10481,1.1049,1.10477,1.10487
2019.09.18 14:51,1.10487,1.10492,1.10482,1.10488
2019.09.18 14:52,1.10489,1.10497,1.10484,1.10493
2019.09.18 14:53,1.10493,1.10497,1.1049,1.10497
2019.09.18 14:54,1.10497,1.10505,1.10485,1.10493
2019.09.18 14:55,1.10493,1.10499,1.10487,1.10493
2019.09.18 14:56,1.10493,1.10502,1.10492,1.10497
2019.09.18 14:57,1.10497,1.10515,1.10493,1.10497
2019.09.18 14:58,1.10497,1.1052,1.10497,1.10516
2019.09.18 14:59,1.10516,1.10522,1.10512,1.10514
2019.09.18 15:00,1.10514,1.10519,1.10509,1.1051
2019.09.18 15:01,1.10512,1.10515,1.10509,1.10512
2019.09.18 15:02,1.10512,1.10529,1.10512,1.10526
2019.09.18 15:03,1.10526,1.10527,1.10524,1.10526
2019.09.18 15:04,1.10526,1.10527,1.10523,1.10524
2019.09.18 15:05,1.10524,1.10527,1.10519,1.10527
2019.09.18 15:06,1.10527,1.10528,1.1052,1.10524
2019.09.18 15:07,1.10524,1.10534,1.10523,1.10528
2019.09.18 15:08,1.10529,1.10531,1.10523,1.10529
2019.09.18 15:09,1.10529,1.10534,1.10529,1.10531
2019.09.18 15:10,1.10531,1.10535,1.10531,1.10534
2019.09.18 15:11,1.10534,1.10543,1.10533,1.1054
2019.09.18 15:12,1.1054,1.10544,1.10534,1.10535
2019.09.18 15:13,1.10536,1.10538,1.10525,1.10529
2019.09.18 15:14,1.10529,1.10536,1.10515,1.10526
2019.09.18 15:15,1.10526,1.10535,1.10518,1.10529
2019.09.18 15:16,1.10529,1.10531,1.10523,1.10526
2019.09.18 15:17,1.10526,1.10534,1.10523,1.10532
2019.09.18 15:18,1.10532,1.10537,1.1053,1.10534
2019.09.18 15:19,1.10534,1.10536,1.10532,1.10536
2019.09.18 15:20,1.10536,1.10537,1.1053,1.10534
2019.09.18 15:21,1.10534,1.10537,1.10532,1.10535
2019.09.18 15:22,1.10535,1.1054,1.10532,1.10532
2019.09.18 15:23,1.10532,1.10535,1.10521,1.10526
2019.09.18 15:24,1.10525,1.10527,1.10523,1.10525
2019.09.18 15:25,1.10525,1.10527,1.10521,1.10525
2019.09.18 15:26,1.10525,1.10532,1.10525,1.10531
2019.09.18 15:27,1.10529,1.10532,1.10528,1.1053
2019.09.18 15:28,1.1053,1.10532,1.10528,1.10528
2019.09.18 15:29,1.10528,1.10537,1.10526,1.10537
2019.09.18 15:30,1.10537,1.10537,1.10529,1.10532
2019.09.18 15:31,1.10533,1.10533,1.1053,1.10532
2019.09.18 15:32,1.10534,1.10543,1.1053,1.10532
2019.09.18 15:33,1.10532,1.10532,1.10521,1.10527
2019.09.18 15:34,1.10527,1.10543,1.10527,1.10543
2019.09.18 15:35,1.10543,1.10575,1.10542,1.10561
2019.09.18 15:36,1.10561,1.10562,1.10548,1.10553
2019.09.18 15:37,1.10553,1.10555,1.10544,1.10547
2019.09.18 15:38,1.10549,1.10553,1.10541,1.10551
2019.09.18 15:39,1.10551,1.10551,1.10541,1.10543
2019.09.18 15:40,1.10543,1.10554,1.10541,1.10548
2019.09.18 15:41,1.10547,1.10553,1.10547,1.10553
2019.09.18 15:42,1.10553,1.10555,1.10553,1.10553
2019.09.18 15:43,1.10553,1.10555,1.10545,1.10548
2019.09.18 15:44,1.10547,1.10552,1.10547,1.10548
2019.09.18 15:45,1.10548,1.10548,1.1054,1.10547
2019.09.18 15:46,1.10544,1.1055,1.1054,1.1054
2019.09.18 15:47,1.1054,1.10547,1.10539,1.10543
2019.09.18 15:48,1.10544,1.10546,1.10539,1.1054
2019.09.18 15:49,1.1054,1.10551,1.10538,1.1055
2019.09.18 15:50,1.1055,1.10553,1.10545,1.10549
2019.09.18 15:51,1.10549,1.1055,1.10541,1.10544
2019.09.18 15:52,1.10545,1.10545,1.10534,1.10534
2019.09.18 15:53,1.10534,1.10549,1.10533,1.10549
2019.09.18 15:54,1.10549,1.10557,1.10547,1.10548
2019.09.18 15:55,1.10548,1.10554,1.10546,1.10553
2019.09.18 15:56,1.10553,1.10562,1.10553,1.10559
2019.09.18 15:57,1.10559,1.10566,1.10557,1.10563
2019.09.18 15:58,1.10563,1.10569,1.10562,1.10568
2019.09.18 15:59,1.10568,1.10568,1.10564,1.10564
2019.09.18 16:00,1.10564,1.10574,1.10549,1.10567
